key,rating,comps,base
p00-0039139,457.58,3,2b89b086cc
p00-0038542,422.86,3,2b89b086cc
p00-0033280,398.57,3,2b89b086cc
p00-0036223,375.09,3,2b89b086cc
p00-0032764,358.72,5,2b89b086cc
p00-0034844,371.53,3,2b89b086cc
p00-0037248,367.16,5,2b89b086cc
p00-0040122,364.27,4,2b89b086cc
p00-0040666,328.5,3,2b89b086cc
p00-0037840,337.89,4,2b89b086cc
p00-0039040,359.22,4,2b89b086cc
p00-0038597,321.91,3,2b89b086cc
p00-0036973,319.84,3,2b89b086cc
p00-0038134,353.09,4,2b89b086cc
p00-0036997,328.1,3,2b89b086cc
pLOV121782,290.29,4,2b89b086cc
p00-0040734,312.05,3,2b89b086cc
p00-0040730,321.66,4,2b89b086cc
p00-0036275,284.88,3,2b89b086cc
p00-0039361,270.88,3,2b89b086cc
p00-0038120,304.06,3,2b89b086cc
p00-0040715,278.75,3,2b89b086cc
p00-0035685,227.45,4,2b89b086cc
p00-0037228,272.75,4,2b89b086cc
p00-0033293,271.39,2,2b89b086cc
p00-0040242,256.82,3,2b89b086cc
p00-0035261,255.3,4,2b89b086cc
p00-0040236,218.56,4,2b89b086cc
p00-0039738,251.71,2,2b89b086cc
p00-0040719,224.54,3,2b89b086cc
p00-0036555,211.85,5,2b89b086cc
p00-0040784,257.1,4,2b89b086cc
p00-0036158,184.15,3,2b89b086cc
pPRI206342,185.01,3,2b89b086cc
p00-0036919,181.05,3,2b89b086cc
p00-0036139,180.5,3,2b89b086cc
p00-0036875,188.11,3,2b89b086cc
p00-0038611,199.09,4,2b89b086cc
p00-0038555,184.99,4,2b89b086cc
p00-0038454,158.58,3,2b89b086cc
p00-0039032,145.17,3,2b89b086cc
p00-0037197,143.34,3,2b89b086cc
p00-0039165,141.48,2,2b89b086cc
p00-0037525,151.76,3,2b89b086cc
p00-0037263,98.3,4,2b89b086cc
p00-0039384,62.5,5,2b89b086cc
p00-0040583,70.5,3,2b89b086cc
p00-0038636,76.6,3,2b89b086cc
p00-0039875,64.6,3,2b89b086cc
p00-0040162,72.6,3,2b89b086cc
p00-0035250,68.8,2,2b89b086cc
p00-0037267,58.6,4,2b89b086cc
p00-0038797,66.6,3,2b89b086cc
p00-0039798,54.6,3,2b89b086cc
p00-0033526,62.6,4,2b89b086cc
p00-0040198,50.7,4,2b89b086cc
p00-0038098,58.7,3,2b89b086cc
p00-0036265,56.7,4,2b89b086cc
p00-0035537,54.7,3,2b89b086cc
p00-0037157,50.7,3,2b89b086cc
p00-0038951,48.7,3,2b89b086cc
p00-0040179,36.7,3,2b89b086cc
p00-0039407,32.7,3,2b89b086cc
p00-0038738,18.8,4,2b89b086cc
