key,rating,comps,base
p00-0038608,42.5,5,2b89b086cc
p00-0040705,20.9,6,2b89b086cc
p00-0038393,27.5,7,2b89b086cc
p00-0039342,33.84,8,2b89b086cc
p00-0037291,24.2,5,2b89b086cc
p00-0037741,2.5,8,2b89b086cc
p00-0036309,30.9,6,2b89b086cc
p00-0036550,19.2,6,2b89b086cc
p00-0038104,25.9,4,2b89b086cc
p00-0040782,24.2,4,2b89b086cc
p00-0039052,22.6,5,2b89b086cc
p00-0035662,10.9,6,2b89b086cc
pBRA836631,9.2,5,2b89b086cc
p00-0040669,10.9,5,2b89b086cc
p00-0039751,7.6,6,2b89b086cc
p00-0039890,6,5,2b89b086cc
p00-0032775,2.6,5,2b89b086cc
