key,rating,comps,base
p00-0036415,47.5,4,2b89b086cc
p00-0032464,45.8,5,2b89b086cc
p00-0039491,56.26,5,2b89b086cc
p00-0038608,32.5,6,2b89b086cc
p00-0040705,20.9,6,2b89b086cc
p00-0038393,27.5,7,2b89b086cc
p00-0039342,33.84,8,2b89b086cc
p00-0037291,14.2,6,2b89b086cc
p00-0037741,2.5,8,2b89b086cc
p00-0036309,30.9,6,2b89b086cc
p00-0036550,19.2,6,2b89b086cc
p00-0036182,27.6,5,2b89b086cc
p00-0038104,25.9,4,2b89b086cc
p00-0040782,24.2,4,2b89b086cc
p00-0039052,22.6,5,2b89b086cc
p00-0035662,10.9,6,2b89b086cc
pBRA836631,9.2,5,2b89b086cc
p00-0035535,15.9,4,2b89b086cc
p00-0040729,14.3,6,2b89b086cc
p00-0039424,12.6,5,2b89b086cc
p00-0039751,7.6,6,2b89b086cc
p00-0039890,6,5,2b89b086cc
