key,rating,comps
dMIN,109.1,1
dPHI,85,1
dLAC,85.31,1
dBAL,95.02,2
dNE,94.93,2
dCHI,99.59,2
dKC,88.16,3
dSF,88.2,1
dGB,87.39,1
dDET,75.86,2
dJAX,75.33,2
dNO,63.49,1
dCAR,95.34,3
dPIT,51.98,2
dIND,59.31,1
dCLE,51.37,2
dLV,50.98,4
dTEN,65.1,2
dDAL,72.32,3
dTB,72.92,1
dCIN,61.47,2
dNYJ,60.77,2
dMIA,36.4,2
dWAS,49.61,2
dARI,25.58,2
