key,manual_tier,rating,tier_pin,tier_note,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,Rush%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0034857,1,444.8,1,,Josh Allen,QB,BUF,372.6,23.29,7,30,3668,25,10,112,579,14,,,,,,,,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0039139,1,425.7,1,,Jahmyr Gibbs,RB,DET,328.4,19.32,6,24,,,,243,1223,13,94,77,616,5,16.2,55.8,15,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0038542,1,423.71,1,,Bijan Robinson,RB,ATL,329.3,19.37,11,24,,,,287,1478,7,103,79,820,4,19.8,61.5,13,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0036900,1,334.6,1,,Ja'Marr Chase,WR,CIN,251.1,15.69,6,26,,,,,,,185,125,1412,8,32.1,1.0,22,,,,,,,,5835,18,1057,16,1591,29,4244,7,80
p00-0039075,1,332.97,1,,Puka Nacua,WR,LA,310.5,19.41,11,25,,,,,,,166,129,1715,10,30.1,2.2,17,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0037744,1,271.3,1,,Trey McBride,TE,ARI,252.9,14.88,14,26,,,,,,,169,126,1239,11,27.9,0.0,34,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0039338,1,269.3,1,,Brock Bowers,TE,LV,142.2,11.85,13,23,,,,,,,86,64,680,7,23.4,0.8,18,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0037692,1,193.78,,,Brandon Aubrey,K,DAL,180.6,10.62,14,31,,,,,,,,,,,,,,36,42,47,,,,,,,,,,,,,
dLA,1,150.4,1,,LA,DST,LA,120.0,7.06,11,,,,,,,,,,,,,,,,,,20.4,47,16,2,,,,,,,,,
dHOU,1,148.4,1,,HOU,DST,HOU,154.0,9.06,8,,,,,,,,,,,,,,,,,,17.4,47,19,1,,,,,,,,,
dDEN,1,146.4,1,,DEN,DST,DEN,142.0,8.35,10,,,,,,,,,,,,,,,,,,18.3,68,10,2,,,,,,,,,
dSEA,1,144.4,1,,SEA,DST,SEA,171.0,10.06,11,,,,,,,,,,,,,,,,,,17.2,47,18,5,,,,,,,,,
p00-0039851,2,434.03,2,,Drake Maye,QB,NE,355.5,20.91,11,24,4394,31,8,103,450,4,,,,,,,,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0034796,2,432.03,2,,Lamar Jackson,QB,BAL,219.9,16.91,13,29,2549,21,7,67,349,2,,,,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0036389,2,430.03,2,,Jalen Hurts,QB,PHI,307.1,19.19,10,28,3224,25,6,105,421,8,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0033280,2,398.35,2,,Christian McCaffrey,RB,SF,365.6,21.51,8,30,,,,311,1202,10,129,102,924,7,23.4,65.7,25,,,,,,,,6135,8,1082,10,1817,24,4318,6,
