key,manual_tier,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0034837,9,Calvin Ridley,WR,TEN,38.8,5.54,9,31,,,,,,,36,17,303,0,16.8,2,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0039146,9,Jayden Reed,WR,GB,39.0,7.8,11,26,,,,,,,22,19,207,1,17.1,4,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0040735,9,Luther Burden III,WR,CHI,104.4,6.96,10,22,,,,,,,60,47,652,2,13.1,4,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039868,9,Troy Franklin,WR,DEN,138.6,8.15,10,23,,,,,,,104,65,709,6,18.2,21,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0036261,9,Brandon Aiyuk,WR,SF,0.0,0.0,8,28,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0038124,9,Christian Watson,WR,GB,114.9,11.49,11,27,,,,,,,55,35,611,6,20.3,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0037744,1,Trey McBride,TE,ARI,252.9,14.88,14,26,,,,,,,169,126,1239,11,27.9,34,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0039338,2,Brock Bowers,TE,LV,142.2,11.85,13,23,,,,,,,86,64,680,7,23.4,18,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0033288,2,George Kittle,TE,SF,133.0,12.09,8,32,,,,,,,69,57,628,7,21.5,13,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0030506,2,Travis Kelce,TE,KC,153.2,9.01,5,36,,,,,,,108,76,851,5,20.0,13,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0040128,2,Tyler Warren,TE,IND,150.5,8.85,13,24,,,,,,,112,76,817,4,21.5,23,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0040663,2,Harold Fannin Jr.,TE,CLE,150.4,9.4,11,22,,,,,,,107,72,731,6,21.8,11,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0036970,2,Kyle Pitts,TE,ATL,166.8,9.81,11,25,,,,,,,118,88,928,5,22.7,13,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0040126,2,Colston Loveland,TE,CHI,136.1,8.51,10,22,,,,,,,82,58,713,6,16.6,15,,,,,,,,6442,6,1103,2,2451,3,3991,12,
pSAD482340,2,Kenyon Sadiq,TE,NYJ,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0033090,3,Hunter Henry,TE,NE,148.8,8.75,11,31,,,,,,,87,60,768,7,17.4,22,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0034753,3,Mark Andrews,TE,BAL,107.0,6.29,13,31,,,,,,,70,48,422,5,17.1,15,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0039065,3,Sam LaPorta,TE,DET,86.9,9.66,6,25,,,,,,,49,40,489,3,18.5,6,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0034351,3,Dallas Goedert,TE,PHI,155.1,10.34,10,31,,,,,,,82,60,591,11,20.8,15,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0038041,3,Jake Ferguson,TE,DAL,145.1,8.54,14,27,,,,,,,102,82,600,8,16.5,25,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0034383,3,Dalton Schultz,TE,HOU,136.7,8.04,8,30,,,,,,,106,82,777,3,19.1,12,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0036040,3,Juwan Johnson,TE,NO,141.4,8.32,8,29,,,,,,,102,77,889,3,17.7,8,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0040189,4,Oronde Gadsden II,TE,LAC,106.9,7.13,7,23,,,,,,,69,49,664,3,14.4,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0038996,4,Tucker Kraft,TE,GB,101.2,12.65,11,25,,,,,,,44,32,489,6,19.0,12,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0036894,4,Pat Freiermuth,TE,PIT,93.1,6.21,9,27,,,,,,,54,41,486,4,11.3,9,,,,,,,,5388,25,988,28,1756,26,3632,22,
pSTO806346,4,Eli Stowers,TE,PHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
pBOE586077,4,Nate Boerkircher,TE,JAX,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
pKLE258860,4,Marlin Klein,TE,HOU,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
pKLA269938,4,Max Klare,TE,LA,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0033885,5,David Njoku,TE,LAC,69.8,6.35,7,30,,,,,,,48,33,293,4,12.5,9,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0038129,5,Cade Otton,TE,TB,92.7,6.18,10,27,,,,,,,81,59,572,1,17.4,7,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0038933,5,Dalton Kincaid,TE,BUF,106.6,8.88,7,26,,,,,,,49,39,571,5,14.9,9,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0039793,5,AJ Barner,TE,SEA,121.3,7.14,11,24,,,,,,,68,52,519,6,13.8,13,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0035229,5,T.J. Hockenson,TE,MIN,87.3,5.82,6,29,,,,,,,66,51,438,3,15.9,11,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0037809,5,Chig Okonkwo,TE,WAS,96.0,5.65,7,27,,,,,,,79,56,560,2,15.0,5,,,,,,,,5619,23,990,27,2290,4,3329,24,
pROU550040,6,Sam Roush,TE,CHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
pDelpOs01,6,Oscar Delp,TE,NO,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
pKAC282861,6,Will Kacmarek,TE,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pRAR148318,6,Eli Raridon,TE,NE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0037692,1,Brandon Aubrey,K,DAL,180.6,10.62,14,31,,,,,,,,,,,,,36,42,47,,,,,,,,,,,,,
p00-0031492,1,Jason Myers,K,SEA,197.0,11.59,11,35,,,,,,,,,,,,,41,48,48,,,,,,,,,,,,,
p00-0032726,1,Ka'imi Fairbairn,K,HOU,186.0,12.4,8,32,,,,,,,,,,,,,44,48,28,,,,,,,,,,,,,
p00-0037224,1,Cameron Dicker,K,LAC,163.0,9.59,7,26,,,,,,,,,,,,,38,41,34,,,,,,,,,,,,,
p00-0031136,2,Chris Boswell,K,PIT,146.0,8.59,9,35,,,,,,,,,,,,,27,32,42,,,,,,,,,,,,,
p00-0034794,2,p00-0034794,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p00-0039172,2,Jake Bates,K,DET,146.0,8.59,6,27,,,,,,,,,,,,,27,34,54,,,,,,,,,,,,,
p00-0035358,2,Chase McLaughlin,K,TB,151.0,8.88,10,30,,,,,,,,,,,,,32,38,32,,,,,,,,,,,,,
p00-0039409,2,Cam Little,K,JAX,161.0,9.47,7,23,,,,,,,,,,,,,30,34,50,,,,,,,,,,,,,
p00-0039404,2,Will Reichard,K,MIN,154.0,9.06,6,25,,,,,,,,,,,,,33,35,31,,,,,,,,,,,,,
p00-0040200,2,Andy Borregales,K,NE,141.0,8.29,11,23,,,,,,,,,,,,,27,32,53,,,,,,,,,,,,,
p00-0036162,2,Tyler Bass,K,BUF,0.0,0.0,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p00-0032569,2,Wil Lutz,K,DEN,124.0,7.29,10,32,,,,,,,,,,,,,28,32,39,,,,,,,,,,,,,
p00-0040074,2,Tyler Loop,K,BAL,134.0,7.88,13,25,,,,,,,,,,,,,30,34,44,,,,,,,,,,,,,
p00-0033787,3,Jake Elliott,K,PHI,113.0,6.65,10,31,,,,,,,,,,,,,20,27,41,,,,,,,,,,,,,
p00-0033303,3,Harrison Butker,K,KC,139.0,8.18,5,31,,,,,,,,,,,,,33,38,31,,,,,,,,,,,,,
p00-0031203,3,Cairo Santos,K,CHI,129.0,8.6,10,34,,,,,,,,,,,,,25,30,39,,,,,,,,,,,,,
p00-0035192,3,Joey Slye,K,TEN,129.0,8.06,9,30,,,,,,,,,,,,,28,35,26,,,,,,,,,,,,,
p00-0036854,3,Evan McPherson,K,CIN,133.0,7.82,6,27,,,,,,,,,,,,,25,28,41,,,,,,,,,,,,,
p00-0034173,3,Eddy Pineiro,K,SF,135.0,9.64,8,30,,,,,,,,,,,,,28,29,34,,,,,,,,,,,,,
p00-0025565,3,Nick Folk,K,ATL,122.0,7.62,11,41,,,,,,,,,,,,,28,29,22,,,,,,,,,,,,,
p00-0038567,3,Chad Ryland,K,ARI,125.0,7.35,14,26,,,,,,,,,,,,,25,33,36,,,,,,,,,,,,,
p00-0035269,3,Matt Gay,K,LV,87.0,7.25,13,32,,,,,,,,,,,,,17,23,26,,,,,,,,,,,,,
p00-0038428,3,Andre Szmyt,K,CLE,108.0,6.35,11,27,,,,,,,,,,,,,24,27,25,,,,,,,,,,,,,
p00-0040279,3,Ryan Fitzgerald,K,CAR,105.0,6.18,5,26,,,,,,,,,,,,,24,29,27,,,,,,,,,,,,,
p00-0038562,4,Jake Moody,K,WAS,76.0,8.44,7,26,,,,,,,,,,,,,19,23,15,,,,,,,,,,,,,
p00-0036816,4,Riley Patterson,K,MIA,127.0,7.47,6,27,,,,,,,,,,,,,27,29,34,,,,,,,,,,,,,
p00-0039498,4,Harrison Mevis,K,LA,79.0,8.78,11,24,,,,,,,,,,,,,12,13,39,,,,,,,,,,,,,
p00-0033702,4,Younghoe Koo,K,NYJ,31.0,5.17,13,32,,,,,,,,,,,,,6,9,13,,,,,,,,,,,,,
p00-0039229,5,Charlie Smyth,K,NO,59.0,9.83,8,25,,,,,,,,,,,,,12,16,13,,,,,,,,,,,,,
p00-0039576,5,Spencer Shrader,K,IND,52.0,10.4,13,27,,,,,,,,,,,,,13,14,14,,,,,,,,,,,,,
p00-0038152,5,Lucas Havrisik,K,GB,23.0,7.67,11,26,,,,,,,,,,,,,4,4,7,,,,,,,,,,,,,
dLA,1,LA,DST,LA,120.0,7.06,11,,,,,,,,,,,,,,,,,20.4,47,16,2,,,,,,,,,
dDEN,1,DEN,DST,DEN,142.0,8.35,10,,,,,,,,,,,,,,,,,18.3,68,10,2,,,,,,,,,
dSEA,1,SEA,DST,SEA,171.0,10.06,11,,,,,,,,,,,,,,,,,17.2,47,18,5,,,,,,,,,
dNE,2,NE,DST,NE,127.0,7.47,11,,,,,,,,,,,,,,,,,18.8,34,10,4,,,,,,,,,
dHOU,2,HOU,DST,HOU,154.0,9.06,8,,,,,,,,,,,,,,,,,17.4,47,19,1,,,,,,,,,
dLAC,2,LAC,DST,LAC,120.0,7.06,7,,,,,,,,,,,,,,,,,20.0,45,19,0,,,,,,,,,
dSF,2,SF,DST,SF,55.0,3.24,8,,,,,,,,,,,,,,,,,21.8,20,6,1,,,,,,,,,
dBAL,2,BAL,DST,BAL,66.0,3.88,13,,,,,,,,,,,,,,,,,23.4,30,11,1,,,,,,,,,
dPHI,2,PHI,DST,PHI,122.0,7.18,10,,,,,,,,,,,,,,,,,19.1,42,12,3,,,,,,,,,
dMIN,2,MIN,DST,MIN,132.0,7.76,6,,,,,,,,,,,,,,,,,19.6,49,8,1,,,,,,,,,
dDET,3,DET,DST,DET,85.0,5.0,6,,,,,,,,,,,,,,,,,24.3,48,13,1,,,,,,,,,
dKC,3,KC,DST,KC,85.0,5.0,5,,,,,,,,,,,,,,,,,19.3,33,10,0,,,,,,,,,
dATL,3,ATL,DST,ATL,108.0,6.35,11,,,,,,,,,,,,,,,,,23.6,57,16,1,,,,,,,,,
dBUF,3,BUF,DST,BUF,107.0,6.29,7,,,,,,,,,,,,,,,,,21.5,36,13,2,,,,,,,,,
dPIT,3,PIT,DST,PIT,94.0,5.53,9,,,,,,,,,,,,,,,,,22.8,48,15,1,,,,,,,,,
dCHI,3,CHI,DST,CHI,87.0,5.12,10,,,,,,,,,,,,,,,,,24.4,35,23,2,,,,,,,,,
dGB,4,GB,DST,GB,81.0,4.76,11,,,,,,,,,,,,,,,,,21.2,36,7,0,,,,,,,,,
dLV,4,LV,DST,LV,73.0,4.29,13,,,,,,,,,,,,,,,,,25.4,36,8,0,,,,,,,,,
dJAX,4,JAX,DST,JAX,140.0,8.24,7,,,,,,,,,,,,,,,,,19.8,32,22,4,,,,,,,,,
dNO,4,NO,DST,NO,102.0,6.0,8,,,,,,,,,,,,,,,,,22.5,44,10,1,,,,,,,,,
dTEN,4,TEN,DST,TEN,58.0,3.41,9,,,,,,,,,,,,,,,,,28.1,42,6,3,,,,,,,,,
dCIN,4,CIN,DST,CIN,38.0,2.24,6,,,,,,,,,,,,,,,,,28.9,34,13,2,,,,,,,,,
dNYG,4,NYG,DST,NYG,44.0,2.59,8,,,,,,,,,,,,,,,,,25.8,38,9,1,,,,,,,,,
dCLE,4,CLE,DST,CLE,134.0,7.88,11,,,,,,,,,,,,,,,,,22.3,53,11,3,,,,,,,,,
dIND,4,IND,DST,IND,68.0,4.0,13,,,,,,,,,,,,,,,,,24.2,39,14,1,,,,,,,,,
dNYJ,5,NYJ,DST,NYJ,22.0,1.29,13,,,,,,,,,,,,,,,,,29.6,26,0,4,,,,,,,,,
dDAL,5,DAL,DST,DAL,20.0,1.18,14,,,,,,,,,,,,,,,,,30.1,34,6,2,,,,,,,,,
dTB,5,TB,DST,TB,86.0,5.06,10,,,,,,,,,,,,,,,,,24.2,37,13,2,,,,,,,,,
dCAR,5,CAR,DST,CAR,97.0,5.71,5,,,,,,,,,,,,,,,,,22.4,30,15,2,,,,,,,,,
dMIA,5,MIA,DST,MIA,67.0,3.94,6,,,,,,,,,,,,,,,,,24.9,39,9,1,,,,,,,,,
dWAS,5,WAS,DST,WAS,41.0,2.41,7,,,,,,,,,,,,,,,,,26.5,42,8,2,,,,,,,,,
dARI,6,ARI,DST,ARI,37.0,2.18,14,,,,,,,,,,,,,,,,,28.7,30,10,0,,,,,,,,,
