key,manual_tier,name,pos,total,ppg,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p6475,2,Jadarian Price,RB,0.0,0.0,,,,,,,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p4575,3,Chase Brown,RB,246.1,14.48,,,,232,1019,6,88,69,437,5,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p6467,3,Jeremiyah Love,RB,0.0,0.0,,,,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p4331,3,Kenneth Walker III,RB,176.4,10.38,,,,221,1027,5,36,31,282,0,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p4317,3,Breece Hall,RB,189.7,11.85,,,,243,1065,4,48,36,350,1,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p6420,3,TreVeyon Henderson,RB,188.7,11.1,,,,180,911,9,42,35,221,1,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p3557,3,Travis Etienne,RB,235.9,13.88,,,,260,1107,7,52,36,292,6,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p2442,4,Josh Jacobs,RB,219.1,14.61,,,,234,929,13,44,36,282,1,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p2157,4,Tony Pollard,RB,169.3,9.96,,,,242,1082,5,41,33,206,0,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p2885,4,D'Andre Swift,RB,211.6,13.22,,,,223,1087,9,48,34,299,1,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p3795,4,Jaylen Warren,RB,197.1,12.32,,,,211,958,6,45,40,333,2,,,,,,,,5388,25,988,28,1756,26,3632,22,
p5182,4,Bucky Irving,RB,123.5,12.35,,,,173,588,1,35,30,277,3,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p6416,4,RJ Harvey,RB,183.1,10.77,,,,146,540,7,58,47,356,5,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p3581,4,Javonte Williams,RB,225.3,14.08,,,,252,1201,11,51,35,137,2,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p6465,5,Quinshon Judkins,RB,154.8,11.06,,,,230,827,7,36,26,171,0,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p2429,5,David Montgomery,RB,152.9,9.0,,,,158,716,8,29,24,192,0,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p3823,5,Rachaad White,RB,123.0,7.24,,,,132,572,4,45,40,218,0,,,,,,,,5619,23,990,27,2290,4,3329,24,
p5983,5,Kyle Monangai,RB,133.7,7.86,,,,169,783,5,30,18,164,0,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p1211,5,Aaron Jones,RB,104.7,8.72,,,,132,548,2,41,28,199,1,,,,,,,,5049,28,954,30,1841,23,3208,30,
p6365,5,Omarion Hampton,RB,119.7,13.3,,,,124,545,4,35,32,192,1,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p3192,5,Chuba Hubbard,RB,110.4,7.36,,,,134,511,1,39,30,223,3,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p5021,5,Zach Charbonnet,RB,169.4,10.59,,,,184,730,12,24,20,144,0,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p2758,5,Rico Dowdle,RB,196.8,11.58,,,,236,1076,6,50,39,297,1,,,,,,,,5388,25,988,28,1756,26,3632,22,
p3463,6,Rhamondre Stevenson,RB,158.8,11.34,,,,130,603,7,37,32,345,2,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p2774,6,J.K. Dobbins,RB,110.4,11.04,,,,153,772,4,14,11,37,0,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p3506,6,Kenneth Gainwell,RB,184.8,10.87,,,,114,537,5,85,73,486,3,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p5989,6,Jacory Croskey-Merritt,RB,135.8,7.99,,,,175,805,8,13,9,68,0,,,,,,,,5619,23,990,27,2290,4,3329,24,
p6405,6,Bhayshul Tuten,RB,83.6,5.57,,,,83,307,5,14,10,79,2,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p1463,6,Alvin Kamara,RB,84.2,7.65,,,,131,471,1,39,33,186,0,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p6496,7,Kaelon Black,RB,0.0,0.0,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
