key,manual_tier,name,pos,total,ppg,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p5947,2,Andy Borregales,K,141.0,8.29,,,,,,,,,,,27,32,53,,,,,,,,,,,,,
p2778,2,Tyler Bass,K,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
p968,2,Wil Lutz,K,124.0,7.29,,,,,,,,,,,28,32,39,,,,,,,,,,,,,
p5831,2,Tyler Loop,K,134.0,7.88,,,,,,,,,,,30,34,44,,,,,,,,,,,,,
p1398,3,Jake Elliott,K,113.0,6.65,,,,,,,,,,,20,27,41,,,,,,,,,,,,,
p1220,3,Harrison Butker,K,139.0,8.18,,,,,,,,,,,33,38,31,,,,,,,,,,,,,
p574,3,Cairo Santos,K,129.0,8.6,,,,,,,,,,,25,30,39,,,,,,,,,,,,,
p2108,3,Joey Slye,K,129.0,8.06,,,,,,,,,,,28,35,26,,,,,,,,,,,,,
p3442,3,Evan McPherson,K,133.0,7.82,,,,,,,,,,,25,28,41,,,,,,,,,,,,,
p1579,3,Eddy Pineiro,K,135.0,9.64,,,,,,,,,,,28,29,34,,,,,,,,,,,,,
p46,3,Nick Folk,K,122.0,7.62,,,,,,,,,,,28,29,22,,,,,,,,,,,,,
p4545,3,Chad Ryland,K,125.0,7.35,,,,,,,,,,,25,33,36,,,,,,,,,,,,,
p2165,3,Matt Gay,K,87.0,7.25,,,,,,,,,,,17,23,26,,,,,,,,,,,,,
p5049,3,Andre Szmyt,K,108.0,6.35,,,,,,,,,,,24,27,25,,,,,,,,,,,,,
p6021,3,Ryan Fitzgerald,K,105.0,6.18,,,,,,,,,,,24,29,27,,,,,,,,,,,,,
p4540,4,Jake Moody,K,76.0,8.44,,,,,,,,,,,19,23,15,,,,,,,,,,,,,
p3411,4,Riley Patterson,K,127.0,7.47,,,,,,,,,,,27,29,34,,,,,,,,,,,,,
p5317,4,Harrison Mevis,K,79.0,8.78,,,,,,,,,,,12,13,39,,,,,,,,,,,,,
p1368,4,Younghoe Koo,K,31.0,5.17,,,,,,,,,,,6,9,13,,,,,,,,,,,,,
p5060,5,Charlie Smyth,K,59.0,9.83,,,,,,,,,,,12,16,13,,,,,,,,,,,,,
p5392,5,Spencer Shrader,K,52.0,10.4,,,,,,,,,,,13,14,14,,,,,,,,,,,,,
p4360,5,Lucas Havrisik,K,23.0,7.67,,,,,,,,,,,4,4,7,,,,,,,,,,,,,
dLA,1,LA,DST,120.0,7.06,,,,,,,,,,,,,,20.4,47,16,2,,,,,,,,,
dDEN,1,DEN,DST,142.0,8.35,,,,,,,,,,,,,,18.3,68,10,2,,,,,,,,,
dSEA,1,SEA,DST,171.0,10.06,,,,,,,,,,,,,,17.2,47,18,5,,,,,,,,,
dNE,2,NE,DST,127.0,7.47,,,,,,,,,,,,,,18.8,34,10,4,,,,,,,,,
dHOU,2,HOU,DST,154.0,9.06,,,,,,,,,,,,,,17.4,47,19,1,,,,,,,,,
dLAC,2,LAC,DST,120.0,7.06,,,,,,,,,,,,,,20.0,45,19,0,,,,,,,,,
dSF,2,SF,DST,55.0,3.24,,,,,,,,,,,,,,21.8,20,6,1,,,,,,,,,
dBAL,2,BAL,DST,66.0,3.88,,,,,,,,,,,,,,23.4,30,11,1,,,,,,,,,
dPHI,2,PHI,DST,122.0,7.18,,,,,,,,,,,,,,19.1,42,12,3,,,,,,,,,
dMIN,2,MIN,DST,132.0,7.76,,,,,,,,,,,,,,19.6,49,8,1,,,,,,,,,
dDET,3,DET,DST,85.0,5.0,,,,,,,,,,,,,,24.3,48,13,1,,,,,,,,,
dKC,3,KC,DST,85.0,5.0,,,,,,,,,,,,,,19.3,33,10,0,,,,,,,,,
dATL,3,ATL,DST,108.0,6.35,,,,,,,,,,,,,,23.6,57,16,1,,,,,,,,,
dBUF,3,BUF,DST,107.0,6.29,,,,,,,,,,,,,,21.5,36,13,2,,,,,,,,,
dPIT,3,PIT,DST,94.0,5.53,,,,,,,,,,,,,,22.8,48,15,1,,,,,,,,,
dCHI,3,CHI,DST,87.0,5.12,,,,,,,,,,,,,,24.4,35,23,2,,,,,,,,,
dGB,4,GB,DST,81.0,4.76,,,,,,,,,,,,,,21.2,36,7,0,,,,,,,,,
dLV,4,LV,DST,73.0,4.29,,,,,,,,,,,,,,25.4,36,8,0,,,,,,,,,
dJAX,4,JAX,DST,140.0,8.24,,,,,,,,,,,,,,19.8,32,22,4,,,,,,,,,
dNO,4,NO,DST,102.0,6.0,,,,,,,,,,,,,,22.5,44,10,1,,,,,,,,,
dTEN,4,TEN,DST,58.0,3.41,,,,,,,,,,,,,,28.1,42,6,3,,,,,,,,,
dCIN,4,CIN,DST,38.0,2.24,,,,,,,,,,,,,,28.9,34,13,2,,,,,,,,,
dNYG,4,NYG,DST,44.0,2.59,,,,,,,,,,,,,,25.8,38,9,1,,,,,,,,,
dCLE,4,CLE,DST,134.0,7.88,,,,,,,,,,,,,,22.3,53,11,3,,,,,,,,,
dIND,4,IND,DST,68.0,4.0,,,,,,,,,,,,,,24.2,39,14,1,,,,,,,,,
dNYJ,5,NYJ,DST,22.0,1.29,,,,,,,,,,,,,,29.6,26,0,4,,,,,,,,,
dDAL,5,DAL,DST,20.0,1.18,,,,,,,,,,,,,,30.1,34,6,2,,,,,,,,,
dTB,5,TB,DST,86.0,5.06,,,,,,,,,,,,,,24.2,37,13,2,,,,,,,,,
dCAR,5,CAR,DST,97.0,5.71,,,,,,,,,,,,,,22.4,30,15,2,,,,,,,,,
dMIA,5,MIA,DST,67.0,3.94,,,,,,,,,,,,,,24.9,39,9,1,,,,,,,,,
dWAS,5,WAS,DST,41.0,2.41,,,,,,,,,,,,,,26.5,42,8,2,,,,,,,,,
dARI,6,ARI,DST,37.0,2.18,,,,,,,,,,,,,,28.7,30,10,0,,,,,,,,,
