key,manual_tier,rating,tier_note,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,Rush%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0036912,6,107.55,,DeVonta Smith,WR,PHI,163.3,9.61,10,27,,,,,,,113,77,1008,4,24.6,0.0,12,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0040734,6,107.53,,TreVeyon Henderson,RB,NE,188.7,11.1,11,23,,,,180,911,9,42,35,221,1,8.4,36.5,4,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0039893,6,104.76,,Brian Thomas Jr.,WR,JAX,114.8,8.2,7,23,,,,,,,91,48,707,2,19.3,0.7,7,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0037525,6,104.7,,Jordan Mason,RB,MIN,121.9,7.62,6,27,,,,159,758,6,16,14,51,0,3.5,42.2,1,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0036275,6,104.65,,D'Andre Swift,RB,CHI,211.6,13.22,10,27,,,,223,1087,9,48,34,299,1,9.4,48.0,1,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0039868,6,104.4,,Troy Franklin,WR,DEN,138.6,8.15,10,23,,,,,,,104,65,709,6,18.2,1.2,21,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0038134,6,104.03,,Kenneth Walker III,RB,KC,176.4,10.38,5,25,,,,221,1027,5,36,31,282,0,8.3,44.1,3,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0034348,6,103.62,,Courtland Sutton,WR,DEN,180.7,10.63,10,30,,,,,,,124,74,1017,7,21.1,0.0,20,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0034837,6,100.89,,Calvin Ridley,WR,TEN,38.8,5.54,9,31,,,,,,,36,17,303,0,16.8,0.0,2,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0037740,6,98.95,,Garrett Wilson,WR,NYJ,81.5,11.64,13,26,,,,,,,59,36,395,4,35.4,0.0,5,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0037240,6,95.45,,Jameson Williams,WR,DET,187.4,11.02,6,25,,,,,,,102,65,1117,7,18.6,1.4,9,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0040668,6,94.9,,Shedeur Sanders,QB,CLE,94.9,11.86,11,24,1400,7,10,21,169,1,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0036290,6,63.7,,Cole Kmet,TE,CHI,61.7,3.86,10,27,,,,,,,48,30,347,2,9.6,,7,,,,,,,,6442,6,1103,2,2451,3,3991,12,
dNYJ,6,60.64,,NYJ,DST,NYJ,22.0,1.29,13,,,,,,,,,,,,,,,,,,29.6,26,0,4,,,,,,,,,
p00-0033885,6,58.63,,David Njoku,TE,LAC,69.8,6.35,7,30,,,,,,,48,33,293,4,12.5,,9,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0038933,6,58.45,,Dalton Kincaid,TE,BUF,106.6,8.88,7,26,,,,,,,49,39,571,5,14.9,,9,,,,,,,,6695,3,1082,9,2714,1,3981,13,
dMIA,6,54.7,,MIA,DST,MIA,67.0,3.94,6,,,,,,,,,,,,,,,,,,24.9,39,9,1,,,,,,,,,
p00-0039847,6,52.27,,Theo Johnson,TE,NYG,105.3,7.02,8,25,,,,,,,74,45,528,5,17.2,,14,,,,,,,,5898,15,1085,8,2195,5,3703,21,
dWAS,6,49.3,,WAS,DST,WAS,41.0,2.41,7,,,,,,,,,,,,,,,,,,26.5,42,8,2,,,,,,,,,
p00-0038128,6,43.4,,Malik Willis,QB,MIA,51.2,12.79,6,27,422,3,0,22,123,2,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
dARI,6,43.22,,ARI,DST,ARI,37.0,2.18,14,,,,,,,,,,,,,,,,,,28.7,30,10,0,,,,,,,,,
pSAD482340,6,0.0,,Kenyon Sadiq,TE,NYJ,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
pMEN516487,6,0.0,,Fernando Mendoza,QB,LV,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,4632,32,948,32,1317,32,3315,26,
pSTO806346,6,-1.1,,Eli Stowers,TE,PHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
pBOE586077,6,-1.2,,Nate Boerkircher,TE,JAX,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
pKLE258860,6,-1.3,,Marlin Klein,TE,HOU,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
pBeckCa01,6,-1.3,,Carson Beck,QB,ARI,0.0,0.0,14,,,,,,,,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
pKLA269938,6,-1.4,,Max Klare,TE,LA,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,6859,2,1086,7,2152,7,4707,2,
pROU550040,6,-2.1,,Sam Roush,TE,CHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
pDelpOs01,6,-2.2,,Oscar Delp,TE,NO,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
pKAC282861,6,-2.3,,Will Kacmarek,TE,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pRAR148318,6,-2.4,,Eli Raridon,TE,NE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036997,7,103.74,,Javonte Williams,RB,DAL,225.3,14.08,14,26,,,,252,1201,11,51,35,137,2,8.6,59.4,12,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0035250,7,103.0,,Devin Singletary,RB,NYG,97.8,5.75,8,29,,,,119,437,5,19,18,151,0,4.0,22.9,2,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0035700,7,101.92,,Josh Jacobs,RB,GB,219.1,14.61,11,28,,,,234,929,13,44,36,282,1,10.2,56.6,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0039032,7,98.8,,Tyjae Spears,RB,TEN,89.2,6.86,9,25,,,,72,283,2,50,45,264,0,12.3,24.9,7,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0036613,7,95.41,,Jaylen Waddle,WR,DEN,162.1,10.13,10,27,,,,,,,100,64,910,6,23.3,0.4,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0031408,7,93.3,,Mike Evans,WR,SF,69.8,8.73,8,33,,,,,,,62,30,368,3,24.3,0.0,9,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0038120,7,92.52,,Breece Hall,RB,NYJ,189.7,11.85,13,25,,,,243,1065,4,48,36,350,1,10.6,57.3,9,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0040129,7,92.21,,Emeka Egbuka,WR,TB,162.2,9.54,10,23,,,,,,,127,63,938,6,23.6,0.5,15,,,,,,,,5702,21,1068,13,1947,21,3755,19,
pCOO816508,7,91.99,,Omar Cooper Jr.,WR,NYJ,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0037664,7,91.45,,Alec Pierce,WR,IND,159.8,10.65,13,26,,,,,,,84,47,1003,6,17.6,0.0,9,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0039337,7,91.41,,Malik Nabers,WR,NYG,48.1,12.03,8,23,,,,,,,35,18,271,2,27.1,0.0,4,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0038559,7,91.03,,Michael Wilson,WR,ARI,181.6,10.68,14,26,,,,,,,126,78,1006,7,19.2,0.0,17,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0036252,7,89.21,,Michael Pittman,WR,PIT,160.4,9.44,9,28,,,,,,,111,80,784,7,20.6,0.0,18,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0040730,7,88.42,,RJ Harvey,RB,DEN,183.1,10.77,10,25,,,,146,540,7,58,47,356,5,10.2,31.3,11,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0038606,7,87.73,,Parker Washington,WR,JAX,143.7,8.98,7,24,,,,,,,95,58,847,5,18.0,1.9,16,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0033921,7,87.44,,Chris Godwin Jr.,WR,TB,64.5,7.17,10,30,,,,,,,51,33,360,2,17.9,0.0,8,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0034975,7,87.31,,Justice Hill,RB,BAL,54.7,5.47,13,28,,,,18,93,2,27,21,169,1,10.0,6.9,1,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0039067,7,87.1,,Rashee Rice,WR,KC,121.6,15.2,5,26,,,,,,,78,53,571,5,29.0,2.6,19,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0038994,7,85.32,,Jordan Addison,WR,MIN,114.1,8.15,6,24,,,,,,,79,42,610,3,18.2,0.5,13,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0037267,7,85.0,,Jerome Ford,RB,WAS,30.6,2.35,7,26,,,,24,73,0,32,26,103,0,7.3,7.5,6,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0039361,7,81.52,,Bucky Irving,RB,TB,123.5,12.35,10,24,,,,173,588,1,35,30,277,3,10.7,59.9,4,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0039849,7,80.42,,Marvin Harrison Jr.,WR,ARI,105.3,8.78,14,24,,,,,,,73,41,608,4,18.1,0.0,11,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0036555,7,78.96,,Chuba Hubbard,RB,CAR,110.4,7.36,5,27,,,,134,511,1,39,30,223,3,8.8,33.8,6,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0040237,7,78.4,,Tez Johnson,WR,TB,78.4,5.23,10,24,,,,,,,44,28,322,5,9.2,1.4,7,,,,,,,,5702,21,1068,13,1947,21,3755,19,
pBER218265,7,77.16,,Germie Bernard,WR,PIT,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0038544,7,76.92,,Quentin Johnston,WR,LAC,145.7,11.21,7,25,,,,,,,84,51,735,8,20.0,0.6,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0037545,7,76.26,,Rashid Shaheed,WR,SEA,115.1,6.39,11,28,,,,,,,92,59,687,2,16.2,1.7,9,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0037261,7,74.83,,Khalil Shakir,WR,BUF,130.4,8.15,7,26,,,,,,,95,72,719,4,21.1,0.2,15,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0039916,7,73.6,,Ricky Pearsall,WR,SF,70.6,7.84,8,25,,,,,,,53,36,528,0,18.0,0.7,4,,,,,,,,6135,8,1082,10,1817,24,4318,6,
pBRA531428,7,73.08,,Zachariah Branch,WR,ATL,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0037228,7,72.48,,Jaylen Warren,RB,PIT,197.1,12.32,9,27,,,,211,958,6,45,40,333,2,9.6,57.8,5,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0040735,7,70.82,,Luther Burden III,WR,CHI,104.4,6.96,10,22,,,,,,,60,47,652,2,13.1,1.4,4,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0035685,7,69.71,,David Montgomery,RB,HOU,152.9,9.0,8,29,,,,158,716,8,29,24,192,0,5.4,35.4,2,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0039919,7,69.69,,Rome Odunze,WR,CHI,124.1,10.34,10,24,,,,,,,90,44,661,6,23.6,0.0,13,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0038621,7,68.61,,DeMario Douglas,WR,NE,80.3,5.02,11,25,,,,,,,46,31,447,3,9.8,1.6,7,,,,,,,,6650,4,1044,18,2191,6,4459,4,
pFIE775129,7,67.75,,Malachi Fields,WR,NYG,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0039894,7,67.63,,Xavier Worthy,WR,KC,88.9,6.35,5,23,,,,,,,73,42,532,1,16.1,3.4,6,,,,,,,,5759,20,1061,15,1812,25,3947,16,
pTHO417520,7,67.45,,Zavion Thomas,WR,CHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0038124,7,67.43,,Christian Watson,WR,GB,114.9,11.49,11,27,,,,,,,55,35,611,6,20.3,0.3,6,,,,,,,,5882,16,1010,23,2037,15,3845,18,
pBEL267684,7,67.4,,Chris Bell,WR,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0036309,7,66.4,,Darnell Mooney,WR,NYG,66.3,4.42,8,28,,,,,,,72,32,443,1,16.2,0.0,8,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0038951,7,65.79,,Sean Tucker,RB,TB,87.4,5.14,10,24,,,,86,320,7,11,8,34,1,1.9,17.7,3,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0040170,7,64.38,,Elic Ayomanor,WR,TEN,96.0,6.0,9,23,,,,,,,89,41,515,4,18.5,0.0,8,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0039901,7,63.15,,Keon Coleman,WR,BUF,81.4,6.78,7,23,,,,,,,59,38,404,4,16.7,0.0,12,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0036139,7,62.76,,Rico Dowdle,RB,PIT,196.8,11.58,9,28,,,,236,1076,6,50,39,297,1,11.0,50.0,5,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0040784,7,62.57,,Quinshon Judkins,RB,CLE,154.8,11.06,11,22,,,,230,827,7,36,26,171,0,8.3,66.7,1,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0040705,7,62.1,,Chimere Dike,WR,TEN,92.1,5.42,9,24,,,,,,,74,48,423,4,13.9,3.2,14,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0039146,7,61.89,,Jayden Reed,WR,GB,39.0,7.8,11,26,,,,,,,22,19,207,1,17.1,2.0,4,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0036875,7,60.24,,Rhamondre Stevenson,RB,NE,158.8,11.34,11,28,,,,130,603,7,37,32,345,2,9.8,32.0,5,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0036550,7,59.15,,Rashod Bateman,WR,BAL,43.9,3.38,13,26,,,,,,,38,19,224,2,11.9,0.0,9,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0033293,7,59.0,,Aaron Jones,RB,MIN,104.7,8.72,6,31,,,,132,548,2,41,28,199,1,14.1,46.2,5,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0035537,7,58.71,,Ty Johnson,RB,BUF,88.3,5.19,7,28,,,,50,200,3,33,24,263,2,6.8,8.7,4,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0035261,8,58.67,,Tony Pollard,RB,TEN,169.3,9.96,9,29,,,,242,1082,5,41,33,206,0,7.6,64.3,1,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0036919,8,57.97,,Kenneth Gainwell,RB,TB,184.8,10.87,10,27,,,,114,537,5,85,73,486,3,16.3,26.6,17,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0035535,8,57.35,,Darius Slayton,WR,NYG,76.3,5.45,8,29,,,,,,,63,37,538,1,15.5,0.0,8,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0038608,8,57.1,,Kayshon Boutte,WR,NE,107.6,7.69,11,24,,,,,,,46,33,551,6,12.0,0.0,4,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0039165,8,55.79,,Zach Charbonnet,RB,SEA,169.4,10.59,11,25,,,,184,730,12,24,20,144,0,5.2,38.8,3,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0035662,8,55.71,,Marquise Brown,WR,PHI,113.2,7.08,10,29,,,,,,,74,49,587,5,14.2,0.0,10,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0040236,8,55.4,,Kyle Monangai,RB,CHI,133.7,7.86,10,24,,,,169,783,5,30,18,164,0,5.7,32.1,3,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0040242,8,55.17,,Jacory Croskey-Merritt,RB,WAS,135.8,7.99,7,25,,,,175,805,8,13,9,68,0,3.0,37.0,1,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0038393,8,54.67,,Dontayvion Wicks,WR,PHI,60.8,4.68,10,25,,,,,,,46,30,332,2,12.8,0.3,4,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0037157,8,53.7,,Bam Knight,RB,ARI,81.9,6.83,14,25,,,,82,269,4,31,22,160,1,6.3,31.9,6,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0039491,8,53.24,,Jalen Coker,WR,CAR,71.9,6.54,5,24,,,,,,,43,33,394,3,15.4,0.0,5,,,,,,,,5281,27,1011,22,1977,19,3304,27,
pPRI206342,8,51.8,,Jadarian Price,RB,SEA,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0037256,8,51.31,,Rachaad White,RB,WAS,123.0,7.24,7,27,,,,132,572,4,45,40,218,0,8.3,30.2,10,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0039342,8,51.3,,Xavier Legette,WR,CAR,71.8,4.79,5,25,,,,,,,64,35,363,3,14.3,0.4,12,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0040719,8,50.92,,Bhayshul Tuten,RB,JAX,83.6,5.57,7,24,,,,83,307,5,14,10,79,2,3.0,18.8,2,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0040715,8,49.9,,Cam Skattebo,RB,NYG,113.7,14.21,8,24,,,,101,410,5,32,24,207,2,12.9,40.3,4,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0036158,8,49.42,,J.K. Dobbins,RB,DEN,110.4,11.04,10,27,,,,153,772,4,14,11,37,0,4.6,57.3,0,,,,,,,,5949,12,1092,5,2018,16,3931,17,
p00-0038611,8,47.96,,Chris Rodriguez Jr.,RB,JAX,90.5,7.54,7,26,,,,112,500,6,4,3,30,0,1.3,31.2,1,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0039880,8,47.37,,Malik Washington,WR,MIA,87.7,5.16,6,25,,,,,,,65,46,317,3,14.4,4.7,11,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0037801,8,46.66,,KaVontae Turpin,WR,DAL,71.5,4.77,14,30,,,,,,,38,26,396,2,6.9,4.5,5,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0036182,8,45.86,,Nick Westbrook-Ikhine,WR,IND,14.4,1.11,13,29,,,,,,,20,11,89,0,5.2,0.0,2,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0040669,8,45.17,,Isaac TeSlaa,WR,DET,67.9,4.85,6,24,,,,,,,27,16,239,6,5.7,0.0,11,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0040667,8,44.15,,Matthew Golden,WR,GB,55.5,3.96,11,23,,,,,,,44,29,361,0,12.4,2.1,2,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0039424,8,43.97,,Devaughn Vele,WR,NO,53.8,5.98,8,28,,,,,,,39,25,293,2,13.3,0.0,5,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0033307,8,43.74,,Kendrick Bourne,WR,ARI,73.6,5.26,14,31,,,,,,,53,37,551,0,10.8,0.0,2,,,,,,,,5937,14,1074,12,1583,31,4354,5,
p00-0040782,8,40.32,,Isaiah Bond,WR,CLE,45.7,3.05,11,22,,,,,,,44,18,338,0,9.3,1.3,4,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0038619,8,40.21,,Andrei Iosivas,WR,CIN,73.4,4.89,6,26,,,,,,,58,33,435,2,10.2,1.2,7,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0039052,8,39.9,,Trey Palmer,WR,NO,0.0,0.0,8,25,,,,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0037197,8,39.65,,Isiah Pacheco,RB,DET,77.8,5.98,6,27,,,,118,462,1,26,19,101,1,6.8,36.3,4,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0032775,8,38.93,,Demarcus Robinson,WR,SF,45.2,3.23,8,31,,,,,,,35,22,276,1,7.6,0.2,4,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0037666,8,38.5,,Jalen Tolbert,WR,MIA,35.3,2.94,6,27,,,,,,,34,18,203,1,7.6,0.0,5,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0035208,8,37.93,,Olamide Zaccheaus,WR,ATL,65.3,4.66,11,29,,,,,,,65,39,313,2,14.7,1.0,13,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0039890,8,36.07,,Adonai Mitchell,WR,NYJ,71.4,4.46,13,23,,,,,,,74,33,453,2,15.3,0.2,8,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0039738,8,34.73,,Blake Corum,RB,LA,118.2,6.95,11,25,,,,145,746,6,14,8,36,0,2.3,30.2,1,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0036849,8,30.35,,Tutu Atwell,WR,MIA,28.2,3.52,6,26,,,,,,,15,6,192,1,4.9,0.0,1,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0038612,8,30.03,,A.T. Perry,WR,PIT,0.0,0.0,9,26,,,,,,,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0037563,8,21.31,,Malik Davis,RB,DAL,39.6,3.96,14,27,,,,52,250,2,5,2,16,0,1.4,16.6,0,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0039792,8,18.19,,Devontez Walker,WR,BAL,34.6,4.33,13,25,,,,,,,8,6,136,3,4.3,0.0,1,,,,,,,,5940,13,974,29,2662,2,3278,28,
pTAT143045,8,6.39,,Carnell Tate,WR,TEN,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
pTYS405541,8,-0.1,,Jordyn Tyson,WR,NO,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
pLEM694125,8,-0.2,,Makai Lemon,WR,PHI,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,5486,24,1010,25,1988,18,3498,23,
pCON046719,8,-0.3,,KC Concepcion,WR,CLE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
pLOV121782,8,-0.6,,Jeremiyah Love,RB,ARI,0.0,0.0,14,,,,,,,,,,,,,,,,,,,,,,5937,14,1074,12,1583,31,4354,5,
pStriDe01,8,-1.2,,De'Zhaun Stribling,WR,SF,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
pBOS677861,8,-1.3,,Denzel Boston,WR,CLE,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,4801,31,1030,19,1649,27,3152,31,
pWIL143106,8,-2.7,,Antonio Williams,WR,WAS,0.0,0.0,7,,,,,,,,,,,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
pDOU210628,8,-2.9,,Caleb Douglas,WR,MIA,0.0,0.0,6,,,,,,,,,,,,,,,,,,,,,,5366,26,949,31,2044,13,3322,25,
pLAN311008,8,-3.1,,Ja'Kobi Lane,WR,BAL,0.0,0.0,13,,,,,,,,,,,,,,,,,,,,,,5940,13,974,29,2662,2,3278,28,
pBRA836631,8,-3.2,,Chris Brazzell II,WR,CAR,0.0,0.0,5,,,,,,,,,,,,,,,,,,,,,,5281,27,1011,22,1977,19,3304,27,
pHUR541377,8,-3.3,,Ted Hurst,WR,TB,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,5702,21,1068,13,1947,21,3755,19,
pBLA097235,8,-3.6,,Kaelon Black,RB,SF,0.0,0.0,8,,,,,,,,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
