key,manual_tier,rating,tier_note,name,pos,team,total,ppg,Bye,Age,PaYds,PaTD,INT,RuAtt,RuYds,RuTD,Tgt,Rec,ReYds,ReTD,Tgt%,Rush%,RZTgt,FGM,FGA,XPM,DefPA,DefSk,DefINT,DefTD,TmYds,TmYdsRk,TmPlays,TmPlaysRk,TmRush,TmRushRk,TmPass,TmPassRk,price
p00-0033280,3,280.38,,Christian McCaffrey,RB,SF,365.6,21.51,8,30,,,,311,1202,10,129,102,924,7,23.4,65.7,25,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0036223,3,271.19,,Jonathan Taylor,RB,IND,337.3,19.84,13,27,,,,323,1585,18,55,46,378,2,11.0,74.3,5,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0033106,3,270.5,,Jared Goff,QB,DET,305.1,17.94,6,31,4564,34,8,19,45,0,,,,,,,,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0036971,3,268.84,,Trevor Lawrence,QB,JAX,348.2,20.48,7,26,4007,29,12,82,359,9,,,,,,,,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0032764,3,266.46,,Derrick Henry,RB,BAL,272.0,16.0,13,32,,,,307,1595,16,21,15,150,0,4.9,59.8,2,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0033077,3,258.41,,Dak Prescott,QB,DAL,317.8,18.69,14,33,4552,30,10,53,177,2,,,,,,,,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0036264,3,250.64,,Jordan Love,QB,GB,237.1,15.81,11,27,3381,23,6,47,199,0,,,,,,,,,,,,,,,5882,16,1010,23,2037,15,3845,18,
p00-0037248,3,247.27,,James Cook,RB,BUF,285.7,16.81,7,26,,,,309,1621,12,40,33,291,2,8.2,58.1,3,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0034844,3,243.05,,Saquon Barkley,RB,PHI,211.8,13.24,10,29,,,,280,1140,7,50,37,273,2,12.1,62.3,8,,,,,,,,5486,24,1010,25,1988,18,3498,23,
p00-0037834,3,234.98,,Brock Purdy,QB,SF,185.4,20.6,8,26,2167,20,10,33,147,3,,,,,,,,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0031381,3,186.1,,Davante Adams,WR,LA,192.9,13.78,11,33,,,,,,,114,60,789,14,25.1,0.0,32,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0034827,3,175.7,,DJ Moore,WR,BUF,147.2,8.66,7,29,,,,,,,85,50,682,6,16.1,3.0,11,,,,,,,,6695,3,1082,9,2714,1,3981,13,
p00-0039064,3,175.25,,Zay Flowers,WR,BAL,200.3,11.78,13,25,,,,,,,118,86,1211,5,29.9,1.9,12,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0037247,3,170.65,,George Pickens,WR,DAL,243.4,14.32,14,25,,,,,,,137,93,1429,9,22.5,0.0,23,,,,,,,,6871,1,1120,1,2136,9,4735,1,
p00-0033288,3,165.08,,George Kittle,TE,SF,133.0,12.09,8,32,,,,,,,69,57,628,7,21.5,,13,,,,,,,,6135,8,1082,10,1817,24,4318,6,
p00-0035640,3,163.7,,DK Metcalf,WR,PIT,157.7,10.51,9,28,,,,,,,99,59,850,6,22.4,0.4,13,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0031136,3,154.3,,Chris Boswell,K,PIT,146.0,8.59,9,35,,,,,,,,,,,,,,27,32,42,,,,,,,,,,,,,
p00-0034794,3,152.7,,Jason Sanders,K,NYJ,0.0,0.0,13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p00-0039172,3,150.8,,Jake Bates,K,DET,146.0,8.59,6,27,,,,,,,,,,,,,,27,34,54,,,,,,,,,,,,,
p00-0034960,3,150.26,,Jakobi Meyers,WR,JAX,138.3,8.64,7,29,,,,,,,110,75,835,3,22.9,1.0,15,,,,,,,,5982,11,1093,4,1956,20,4026,11,
p00-0038117,3,148.6,,Wan'Dale Robinson,WR,TEN,171.9,10.74,9,25,,,,,,,140,92,1014,4,30.3,0.6,14,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0035358,3,147.8,,Chase McLaughlin,K,TB,151.0,8.88,10,30,,,,,,,,,,,,,,32,38,32,,,,,,,,,,,,,
p00-0039409,3,143.8,,Cam Little,K,JAX,161.0,9.47,7,23,,,,,,,,,,,,,,30,34,50,,,,,,,,,,,,,
p00-0039404,3,142.8,,Will Reichard,K,MIN,154.0,9.06,6,25,,,,,,,,,,,,,,33,35,31,,,,,,,,,,,,,
p00-0040200,3,141.0,,Andy Borregales,K,NE,141.0,8.29,11,23,,,,,,,,,,,,,,27,32,53,,,,,,,,,,,,,
dCHI,3,81.6,,CHI,DST,CHI,87.0,5.12,10,,,,,,,,,,,,,,,,,,24.4,35,23,2,,,,,,,,,
dKC,3,79.92,,KC,DST,KC,85.0,5.0,5,,,,,,,,,,,,,,,,,,19.3,33,10,0,,,,,,,,,
dSF,3,77.91,,SF,DST,SF,55.0,3.24,8,,,,,,,,,,,,,,,,,,21.8,20,6,1,,,,,,,,,
dGB,3,77.11,,GB,DST,GB,81.0,4.76,11,,,,,,,,,,,,,,,,,,21.2,36,7,0,,,,,,,,,
dBUF,3,76.1,,BUF,DST,BUF,107.0,6.29,7,,,,,,,,,,,,,,,,,,21.5,36,13,2,,,,,,,,,
dDET,3,75.89,,DET,DST,DET,85.0,5.0,6,,,,,,,,,,,,,,,,,,24.3,48,13,1,,,,,,,,,
dATL,3,75.7,,ATL,DST,ATL,108.0,6.35,11,,,,,,,,,,,,,,,,,,23.6,57,16,1,,,,,,,,,
p00-0036442,4,234.98,,Joe Burrow,QB,CIN,139.5,17.43,6,29,1809,17,5,14,41,0,,,,,,,,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0034869,4,233.4,,Sam Darnold,QB,SEA,245.4,14.44,11,29,4048,25,14,35,95,0,,,,,,,,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0039163,4,232.2,,C.J. Stroud,QB,HOU,216.5,15.47,8,24,3041,19,8,48,209,1,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0030565,4,226.7,,Geno Smith,QB,NYJ,188.9,12.59,13,35,3025,19,17,41,109,0,,,,,,,,,,,,,,,4880,29,1010,24,2096,10,2784,32,
p00-0039040,4,220.67,,De'Von Achane,RB,MIA,289.3,18.08,6,24,,,,238,1350,8,85,67,488,4,18.8,61.3,11,,,,,,,,5366,26,949,31,2044,13,3322,25,
p00-0039910,4,212.7,,Jayden Daniels,QB,WAS,115.3,16.47,7,25,1262,8,3,58,278,2,,,,,,,,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0037840,4,209.94,,Kyren Williams,RB,LA,245.3,14.43,11,26,,,,259,1252,10,50,36,281,3,8.1,57.3,10,,,,,,,,6859,2,1086,7,2152,7,4707,2,
p00-0039150,4,208.6,,Bryce Young,QB,CAR,227.0,14.19,5,25,3011,23,11,54,216,2,,,,,,,,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0023459,4,203.7,,Aaron Rodgers,QB,PIT,231.6,14.47,9,42,3322,24,7,21,61,1,,,,,,,,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0040126,4,152.82,,Colston Loveland,TE,CHI,136.1,8.51,10,22,,,,,,,82,58,713,6,16.6,,15,,,,,,,,6442,6,1103,2,2451,3,3991,12,
p00-0040663,4,145.72,,Harold Fannin Jr.,TE,CLE,150.4,9.4,11,22,,,,,,,107,72,731,6,21.8,,11,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0030506,4,143.43,,Travis Kelce,TE,KC,153.2,9.01,5,36,,,,,,,108,76,851,5,20.0,,13,,,,,,,,5759,20,1061,15,1812,25,3947,16,
p00-0036162,4,137.0,,Tyler Bass,K,BUF,0.0,0.0,7,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p00-0036259,4,136.2,,Jauan Jennings,WR,MIN,143.8,9.59,6,29,,,,,,,90,55,643,9,19.9,0.0,22,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0040128,4,135.41,,Tyler Warren,TE,IND,150.5,8.85,13,24,,,,,,,112,76,817,4,21.5,,23,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0032569,4,134.3,,Wil Lutz,K,DEN,124.0,7.29,10,32,,,,,,,,,,,,,,28,32,39,,,,,,,,,,,,,
p00-0040074,4,134.0,,Tyler Loop,K,BAL,134.0,7.88,13,25,,,,,,,,,,,,,,30,34,44,,,,,,,,,,,,,
p00-0036407,4,131.0,,Jerry Jeudy,WR,CLE,95.7,5.63,11,27,,,,,,,106,50,602,2,20.5,0.2,9,,,,,,,,4801,31,1030,19,1649,27,3152,31,
p00-0037816,4,127.8,,Romeo Doubs,WR,NE,135.9,8.49,11,26,,,,,,,85,55,724,6,18.9,0.0,18,,,,,,,,6650,4,1044,18,2191,6,4459,4,
p00-0037238,4,127.78,,Drake London,WR,ATL,165.9,13.83,11,25,,,,,,,112,68,919,7,29.7,0.0,16,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0034753,4,126.1,,Mark Andrews,TE,BAL,107.0,6.29,13,31,,,,,,,70,48,422,5,17.1,,15,,,,,,,,5940,13,974,29,2662,2,3278,28,
p00-0033787,4,125.2,,Jake Elliott,K,PHI,113.0,6.65,10,31,,,,,,,,,,,,,,20,27,41,,,,,,,,,,,,,
p00-0033303,4,124.7,,Harrison Butker,K,KC,139.0,8.18,5,31,,,,,,,,,,,,,,33,38,31,,,,,,,,,,,,,
p00-0038997,4,124.4,,Josh Downs,WR,IND,109.4,6.84,13,25,,,,,,,88,58,566,4,17.5,0.5,15,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0031203,4,124.3,,Cairo Santos,K,CHI,129.0,8.6,10,34,,,,,,,,,,,,,,25,30,39,,,,,,,,,,,,,
p00-0038977,4,123.5,,Tank Dell,WR,HOU,0.0,0.0,8,26,,,,,,,,,,,,,,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0036970,4,122.74,,Kyle Pitts,TE,ATL,166.8,9.81,11,25,,,,,,,118,88,928,5,22.7,,13,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0036410,4,120.31,,Tee Higgins,WR,CIN,180.1,12.01,6,27,,,,,,,98,59,846,11,18.3,0.0,16,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0035192,4,120.0,,Joey Slye,K,TEN,129.0,8.06,9,30,,,,,,,,,,,,,,28,35,26,,,,,,,,,,,,,
p00-0034383,4,119.1,,Dalton Schultz,TE,HOU,136.7,8.04,8,30,,,,,,,106,82,777,3,19.1,,12,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0036854,4,118.3,,Evan McPherson,K,CIN,133.0,7.82,6,27,,,,,,,,,,,,,,25,28,41,,,,,,,,,,,,,
p00-0034173,4,118.0,,Eddy Pineiro,K,SF,135.0,9.64,8,30,,,,,,,,,,,,,,28,29,34,,,,,,,,,,,,,
p00-0025565,4,115.7,,Nick Folk,K,ATL,122.0,7.62,11,41,,,,,,,,,,,,,,28,29,22,,,,,,,,,,,,,
dJAX,4,75.31,,JAX,DST,JAX,140.0,8.24,7,,,,,,,,,,,,,,,,,,19.8,32,22,4,,,,,,,,,
dNO,4,73.53,,NO,DST,NO,102.0,6.0,8,,,,,,,,,,,,,,,,,,22.5,44,10,1,,,,,,,,,
dCAR,4,71.45,,CAR,DST,CAR,97.0,5.71,5,,,,,,,,,,,,,,,,,,22.4,30,15,2,,,,,,,,,
dPIT,4,70.0,,PIT,DST,PIT,94.0,5.53,9,,,,,,,,,,,,,,,,,,22.8,48,15,1,,,,,,,,,
dIND,4,69.59,,IND,DST,IND,68.0,4.0,13,,,,,,,,,,,,,,,,,,24.2,39,14,1,,,,,,,,,
dCLE,4,69.47,,CLE,DST,CLE,134.0,7.88,11,,,,,,,,,,,,,,,,,,22.3,53,11,3,,,,,,,,,
dLV,4,65.45,,LV,DST,LV,73.0,4.29,13,,,,,,,,,,,,,,,,,,25.4,36,8,0,,,,,,,,,
p00-0036212,5,195.8,,Tua Tagovailoa,QB,ATL,173.7,12.41,11,28,2660,20,15,20,43,0,,,,,,,,,,,,,,,5841,17,1048,17,2138,8,3703,20,
p00-0040676,5,193.7,,Cam Ward,QB,TEN,193.7,11.39,9,24,3169,15,7,39,159,2,,,,,,,,,,,,,,,4830,30,1004,26,1589,30,3241,29,
p00-0035710,5,174.1,,Daniel Jones,QB,IND,232.4,17.88,13,29,3101,19,8,45,164,5,,,,,,,,,,,,,,,6092,9,1018,20,2007,17,4085,8,
p00-0040122,5,168.93,,Ashton Jeanty,RB,LV,217.6,12.8,13,22,,,,266,975,5,73,55,346,5,14.8,71.1,10,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0040691,5,167.65,,Jaxson Dart,QB,NYG,244.6,17.47,8,23,2272,15,5,86,487,9,,,,,,,,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0040743,5,162.0,,Tyler Shough,QB,NO,162.0,14.72,8,26,2384,10,6,45,186,3,,,,,,,,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0033906,5,150.8,,Alvin Kamara,RB,NO,84.2,7.65,8,31,,,,131,471,1,39,33,186,0,11.7,47.2,5,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0038597,5,147.66,,Chase Brown,RB,CIN,246.1,14.48,6,26,,,,232,1019,6,88,69,437,5,14.3,62.2,12,,,,,,,,5835,18,1057,16,1591,29,4244,7,
p00-0040666,5,143.25,,Omarion Hampton,RB,LAC,119.7,13.3,7,23,,,,124,545,4,35,32,192,1,11.8,54.8,2,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0039384,5,142.34,,Tyrone Tracy Jr.,RB,NYG,142.8,9.52,8,26,,,,176,740,2,48,36,288,2,10.8,39.6,5,,,,,,,,5898,15,1085,8,2195,5,3703,21,
p00-0040583,5,133.1,,Woody Marks,RB,HOU,133.1,8.32,8,25,,,,196,703,2,36,24,208,3,6.8,44.1,8,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0036973,5,125.66,,Travis Etienne,RB,NO,235.9,13.88,8,27,,,,260,1107,7,52,36,292,6,9.8,53.7,10,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0035228,5,123.33,,Kyler Murray,QB,MIN,80.8,16.16,6,29,962,6,3,29,173,1,,,,,,,,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0039915,5,118.46,,Ladd McConkey,WR,LAC,147.9,9.24,7,24,,,,,,,106,66,789,6,21.1,0.0,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0038563,5,118.11,,Tre Tucker,WR,LV,133.2,7.84,13,25,,,,,,,92,57,696,5,19.0,2.6,10,,,,,,,,4632,32,948,32,1317,32,3315,26,
p00-0036040,5,116.5,,Juwan Johnson,TE,NO,141.4,8.32,8,29,,,,,,,102,77,889,3,17.7,,8,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0037239,5,115.39,,Chris Olave,WR,NO,219.0,13.69,8,26,,,,,,,156,100,1163,9,29.2,0.4,15,,,,,,,,5630,22,1075,11,1603,28,4027,10,
p00-0033908,5,115.2,,Cooper Kupp,WR,SEA,91.8,5.74,11,33,,,,,,,70,47,593,2,16.0,0.0,13,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0038567,5,115.0,,Chad Ryland,K,ARI,125.0,7.35,14,26,,,,,,,,,,,,,,25,33,36,,,,,,,,,,,,,
p00-0040124,5,113.48,,Tetairoa McMillan,WR,CAR,178.4,10.49,5,23,,,,,,,122,70,1014,7,25.7,0.0,15,,,,,,,,5281,27,1011,22,1977,19,3304,27,
p00-0035269,5,111.5,,Matt Gay,K,LV,87.0,7.25,13,32,,,,,,,,,,,,,,17,23,26,,,,,,,,,,,,,
p00-0040130,5,109.0,,Jayden Higgins,WR,HOU,109.0,6.41,8,23,,,,,,,68,41,525,6,12.4,0.0,9,,,,,,,,5808,19,1088,6,1852,22,3956,14,
p00-0035659,5,108.34,,Terry McLaurin,WR,WAS,95.2,9.52,7,30,,,,,,,60,38,582,3,23.2,0.0,8,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0038428,5,108.0,,Andre Szmyt,K,CLE,108.0,6.35,11,27,,,,,,,,,,,,,,24,27,25,,,,,,,,,,,,,
p00-0040189,5,106.9,,Oronde Gadsden II,TE,LAC,106.9,7.13,7,23,,,,,,,69,49,664,3,14.4,,15,,,,,,,,6020,10,1095,3,2067,12,3953,15,
p00-0040279,5,105.0,,Ryan Fitzgerald,K,CAR,105.0,6.18,5,26,,,,,,,,,,,,,,24,29,27,,,,,,,,,,,,,
p00-0036894,5,102.3,,Pat Freiermuth,TE,PIT,93.1,6.21,9,27,,,,,,,54,41,486,4,11.3,,9,,,,,,,,5388,25,988,28,1756,26,3632,22,
p00-0038129,5,98.9,,Cade Otton,TE,TB,92.7,6.18,10,27,,,,,,,81,59,572,1,17.4,,7,,,,,,,,5702,21,1068,13,1947,21,3755,19,
p00-0039793,5,98.2,,AJ Barner,TE,SEA,121.3,7.14,11,24,,,,,,,68,52,519,6,13.8,,13,,,,,,,,6159,7,1015,21,2096,11,4063,9,
p00-0038562,5,95.0,,Jake Moody,K,WAS,76.0,8.44,7,26,,,,,,,,,,,,,,19,23,15,,,,,,,,,,,,,
p00-0035229,5,94.2,,T.J. Hockenson,TE,MIN,87.3,5.82,6,29,,,,,,,66,51,438,3,15.9,,11,,,,,,,,5049,28,954,30,1841,23,3208,30,
p00-0039065,5,93.53,,Sam LaPorta,TE,DET,86.9,9.66,6,25,,,,,,,49,40,489,3,18.5,,6,,,,,,,,6608,5,1063,14,2041,14,4567,3,
p00-0037809,5,90.9,,Chig Okonkwo,TE,WAS,96.0,5.65,7,27,,,,,,,79,56,560,2,15.0,,5,,,,,,,,5619,23,990,27,2290,4,3329,24,
p00-0036816,5,88.7,,Riley Patterson,K,MIA,127.0,7.47,6,27,,,,,,,,,,,,,,27,29,34,,,,,,,,,,,,,
p00-0038996,5,85.0,,Tucker Kraft,TE,GB,101.2,12.65,11,25,,,,,,,44,32,489,6,19.0,,12,,,,,,,,5882,16,1010,23,2037,15,3845,18,
