date,name,team_pos,proj_value,avg_cost,pct_drafted,all_dollars
2026-07-28,George Kittle,SF - TE,2,2.7,100,2|2.7
2026-07-28,Brian Thomas Jr.,JAX - WR,7,2.5,100,7|2.5
2026-07-28,Trevor Lawrence,JAX - QB,4,2.5,100,4|2.5
2026-07-28,Broncos,DEN - DEF,1,2.5,100,1|2.5
2026-07-28,DK Metcalf,PIT - WR,4,2.4,100,4|2.4
2026-07-28,J.K. Dobbins,DEN - RB,2,2.4,100,2|2.4
2026-07-28,Patrick Mahomes,KC - QB,2,2.4,100,2|2.4
2026-07-28,Greg Dulcich,MIA - TE,1,2.4,2,1|2.4
2026-07-28,Travis Kelce,KC - TE,2,2.3,100,2|2.3
2026-07-28,Jordyn Tyson,NO - WR,3,2.2,100,3|2.2
2026-07-28,Seahawks,SEA - DEF,1,2.1,100,1|2.1
2026-07-28,Kenny Gainwell,TB - RB,2,1.9,97,2|1.9
2026-07-28,Aaron Jones Sr.,MIN - RB,2,1.9,90,2|1.9
2026-07-28,Chris Godwin Jr.,TB - WR,3,1.8,100,3|1.8
2026-07-28,Makai Lemon,PHI - WR,3,1.8,100,3|1.8
2026-07-28,Zach Charbonnet,SEA - RB,1,1.8,41,1|1.8
2026-07-28,Parker Washington,JAX - WR,6,1.7,100,6|1.7
2026-07-28,Courtland Sutton,DEN - WR,2,1.7,100,2|1.7
2026-07-28,Michael Wilson,ARI - WR,2,1.7,99,2|1.7
2026-07-28,Rachaad White,WAS - RB,2,1.7,76,2|1.7
2026-07-28,Isaiah Likely,NYG - TE,2,1.7,99,2|1.7
2026-07-28,Matthew Stafford,LAR - QB,2,1.7,99,2|1.7
2026-07-28,Ka'imi Fairbairn,HOU - K,1,1.7,100,1|1.7
2026-07-28,Jordan Mason,MIN - RB,2,1.6,71,2|1.6
2026-07-28,Jacory Croskey-Merritt,WAS - RB,2,1.5,93,2|1.5
2026-07-28,Cameron Dicker,LAC - K,1,1.5,100,1|1.5
2026-07-28,Cam Little,JAX - K,1,1.5,100,1|1.5
2026-07-28,Packers,GB - DEF,1,1.5,23,1|1.5
2026-07-28,Tyreek Hill,MIA - WR,1,1.5,9,1|1.5
2026-07-28,Chase McLaughlin,TB - K,0,1.5,15,0|1.5
2026-07-28,Giants,NYG - DEF,0,1.5,3,0|1.5
2026-07-28,49ers,SF - DEF,0,1.5,8,0|1.5
2026-07-28,Brock Purdy,SF - QB,2,1.4,99,2|1.4
2026-07-28,Bo Nix,DEN - QB,2,1.4,99,2|1.4
2026-07-28,Jared Goff,DET - QB,2,1.4,92,2|1.4
2026-07-28,Harrison Mevis,LAR - K,0,1.4,33,0|1.4
2026-07-28,David Njoku,LAC - TE,1,1.4,3,1|1.4
2026-07-28,Quentin Johnston,LAC - WR,3,1.3,83,3|1.3
2026-07-28,Ricky Pearsall,SF - WR,3,1.3,99,3|1.3
2026-07-28,Kyler Murray,MIN - QB,2,1.3,97,2|1.3
2026-07-28,Dalton Kincaid,BUF - TE,2,1.3,100,2|1.3
2026-07-28,Dallas Goedert,PHI - TE,2,1.3,99,2|1.3
2026-07-28,Matthew Golden,GB - WR,2,1.3,25,2|1.3
2026-07-28,KC Concepcion,CLE - WR,2,1.3,25,2|1.3
2026-07-28,Jake Ferguson,DAL - TE,1,1.3,98,1|1.3
2026-07-28,Bryce Young,CAR - QB,1,1.3,2,1|1.3
2026-07-28,Sam Darnold,SEA - QB,1,1.3,13,1|1.3
2026-07-28,Eagles,PHI - DEF,1,1.3,100,1|1.3
2026-07-28,Cam Ward,TEN - QB,1,1.3,3,1|1.3
2026-07-28,Jason Myers,SEA - K,1,1.3,100,1|1.3
2026-07-28,AJ Barner,SEA - TE,1,1.3,4,1|1.3
2026-07-28,Chiefs,KC - DEF,1,1.3,9,1|1.3
2026-07-28,Jake Bates,DET - K,1,1.3,31,1|1.3
2026-07-28,Will Reichard,MIN - K,1,1.3,11,1|1.3
2026-07-28,Lions,DET - DEF,1,1.3,29,1|1.3
2026-07-28,Bills,BUF - DEF,1,1.3,11,1|1.3
2026-07-28,Pat Freiermuth,PIT - TE,1,1.3,2,1|1.3
2026-07-28,Josh Downs,IND - WR,2,1.2,90,2|1.2
2026-07-28,Michael Pittman Jr.,PIT - WR,2,1.2,94,2|1.2
2026-07-28,Jakobi Meyers,JAX - WR,2,1.2,83,2|1.2
2026-07-28,Mark Andrews,BAL - TE,2,1.2,98,2|1.2
2026-07-28,Chris Rodriguez Jr.,JAX - RB,2,1.2,28,2|1.2
2026-07-28,Romeo Doubs,NE - WR,2,1.2,34,2|1.2
2026-07-28,Tyrone Tracy Jr.,NYG - RB,2,1.2,26,2|1.2
2026-07-28,Jordan Love,GB - QB,2,1.2,58,2|1.2
2026-07-28,Tyler Shough,NO - QB,1,1.2,34,1|1.2
2026-07-28,Tank Bigsby,PHI - RB,1,1.2,4,1|1.2
2026-07-28,Alvin Kamara,NO - RB,1,1.2,19,1|1.2
2026-07-28,C.J. Stroud,HOU - QB,1,1.2,9,1|1.2
2026-07-28,Steelers,PIT - DEF,1,1.2,79,1|1.2
2026-07-28,Chargers,LAC - DEF,1,1.2,74,1|1.2
2026-07-28,Ravens,BAL - DEF,1,1.2,40,1|1.2
2026-07-28,Chris Boswell,PIT - K,1,1.2,47,1|1.2
2026-07-28,Terrance Ferguson,LAR - TE,1,1.2,2,1|1.2
2026-07-28,Dalton Schultz,HOU - TE,1,1.2,4,1|1.2
2026-07-28,Aaron Rodgers,PIT - QB,0,1.2,2,0|1.2
2026-07-28,Jayden Reed,GB - WR,2,1.1,90,2|1.1
2026-07-28,Jordan Addison,MIN - WR,2,1.1,93,2|1.1
2026-07-28,Jayden Higgins,HOU - WR,2,1.1,20,2|1.1
2026-07-28,Stefon Diggs,NE - WR,2,1.1,25,2|1.1
2026-07-28,Jalen Coker,CAR - WR,2,1.1,6,2|1.1
2026-07-28,Wan'Dale Robinson,TEN - WR,2,1.1,51,2|1.1
2026-07-28,Malik Willis,MIA - QB,1,1.1,52,1|1.1
2026-07-28,Baker Mayfield,TB - QB,1,1.1,40,1|1.1
2026-07-28,Keaton Mitchell,LAC - RB,1,1.1,6,1|1.1
2026-07-28,Tyler Allgeier,ARI - RB,1,1.1,39,1|1.1
2026-07-28,Rashid Shaheed,SEA - WR,1,1.1,10,1|1.1
2026-07-28,Chig Okonkwo,WAS - TE,1,1.1,32,1|1.1
2026-07-28,Tyjae Spears,TEN - RB,1,1.1,5,1|1.1
2026-07-28,Isiah Pacheco,DET - RB,1,1.1,17,1|1.1
2026-07-28,Khalil Shakir,BUF - WR,1,1.1,15,1|1.1
2026-07-28,Daniel Jones,IND - QB,1,1.1,6,1|1.1
2026-07-28,Hunter Henry,NE - TE,1,1.1,59,1|1.1
2026-07-28,Patriots,NE - DEF,1,1.1,99,1|1.1
2026-07-28,Vikings,MIN - DEF,1,1.1,97,1|1.1
2026-07-28,Jaguars,JAX - DEF,1,1.1,84,1|1.1
2026-07-28,Tyler Loop,BAL - K,1,1.1,96,1|1.1
2026-07-28,T.J. Hockenson,MIN - TE,1,1.1,11,1|1.1
2026-07-28,Andy Borregales,NE - K,1,1.1,72,1|1.1
2026-07-28,Eddy Pineiro,SF - K,1,1.1,82,1|1.1
2026-07-28,Evan McPherson,CIN - K,1,1.1,51,1|1.1
2026-07-28,Brandon Aiyuk,SF - WR,1,1.1,3,1|1.1
2026-07-28,Fernando Mendoza,LV - QB,0,1.1,5,0|1.1
2026-07-28,Browns,CLE - DEF,1,1.1,9,1|1.1
2026-07-28,Xavier Worthy,KC - WR,2,1.0,69,2|1
2026-07-28,Jonah Coleman,DEN - RB,1,1.0,8,1|1
2026-07-28,Woody Marks,HOU - RB,1,1.0,10,1|1
2026-07-28,Travis Hunter,JAX - WR,1,1.0,8,1|1
2026-07-28,Jalen McMillan,TB - WR,1,1.0,2,1|1
2026-07-28,Dylan Sampson,CLE - RB,1,1.0,2,1|1
2026-07-28,Brenton Strange,JAX - TE,1,1.0,54,1|1
2026-07-28,Oronde Gadsden,LAC - TE,1,1.0,67,1|1
2026-07-28,Omar Cooper Jr.,NYJ - WR,1,1.0,2,1|1
2026-07-28,Juwan Johnson,NO - TE,1,1.0,22,1|1
2026-07-28,Mike Washington Jr.,LV - RB,1,1.0,3,1|1
2026-07-28,Denzel Boston,CLE - WR,1,1.0,4,1|1
2026-07-28,Jauan Jennings,MIN - WR,1,1.0,3,1|1
2026-07-28,Emmett Johnson,KC - RB,1,1.0,2,1|1
2026-07-28,Nicholas Singleton,TEN - RB,1,1.0,2,1|1
2026-07-28,Deebo Samuel,WAS - WR,1,1.0,4,1|1
2026-07-28,Isaac TeSlaa,DET - WR,1,1.0,2,1|1
